date,resource_id,service,actual_cost,amortized_cost,usage_quantity,currency
2026-01-01,ecs-prod-web-01,ECS,20.9374,20.9374,63.240,USD
2026-01-01,ecs-prod-web-02,ECS,17.3301,17.0702,52.020,USD
2026-01-01,cce-prod-node-a,CCE_NODE,24.2655,23.9015,75.480,USD
2026-01-01,cce-prod-node-b,CCE_NODE,24.9331,24.5591,75.480,USD
2026-01-01,ecs-dev-sandbox-01,ECS,7.0792,7.0792,21.420,USD
2026-01-01,ecs-qa-legacy-01,ECS,6.1231,6.1231,18.870,USD
2026-01-01,rds-orders-prod,RDS,22.9565,22.9565,70.380,USD
2026-01-01,rds-analytics-prod,RDS,17.4005,17.1395,53.040,USD
2026-01-01,evs-orphan-001,EVS,3.1544,3.1544,9.792,USD
2026-01-01,eip-unbound-001,EIP,1.2748,1.2748,3.876,USD
2026-01-01,obs-platform-logs,OBS,9.2156,9.2156,28.050,USD
2026-01-01,elb-legacy-001,ELB,2.7818,2.7818,8.364,USD
2026-01-01,ecs-ml-prod-01,ECS,15.0191,15.0191,46.920,USD
2026-01-01,cce-dev-node-01,CCE_NODE,11.0661,11.0661,33.660,USD
2026-01-01,ecs-unallocated-01,ECS,4.6190,4.6190,14.790,USD
2026-01-02,ecs-prod-web-01,ECS,20.0757,20.0757,63.240,USD
2026-01-02,ecs-prod-web-02,ECS,16.5338,16.2858,52.020,USD
2026-01-02,cce-prod-node-a,CCE_NODE,23.8191,23.4618,75.480,USD
2026-01-02,cce-prod-node-b,CCE_NODE,23.8968,23.5383,75.480,USD
2026-01-02,ecs-dev-sandbox-01,ECS,6.9330,6.9330,21.420,USD
2026-01-02,ecs-qa-legacy-01,ECS,6.1889,6.1889,18.870,USD
2026-01-02,rds-orders-prod,RDS,22.0735,22.0735,70.380,USD
2026-01-02,rds-analytics-prod,RDS,16.8598,16.6069,53.040,USD
2026-01-02,evs-orphan-001,EVS,3.0815,3.0815,9.792,USD
2026-01-02,eip-unbound-001,EIP,1.2150,1.2150,3.876,USD
2026-01-02,obs-platform-logs,OBS,8.9191,8.9191,28.050,USD
2026-01-02,elb-legacy-001,ELB,2.6298,2.6298,8.364,USD
2026-01-02,ecs-ml-prod-01,ECS,15.3325,15.3325,46.920,USD
2026-01-02,cce-dev-node-01,CCE_NODE,10.6478,10.6478,33.660,USD
2026-01-02,ecs-unallocated-01,ECS,4.7729,4.7729,14.790,USD
2026-01-03,ecs-prod-web-01,ECS,18.5022,18.5022,58.900,USD
2026-01-03,ecs-prod-web-02,ECS,15.7175,15.4818,48.450,USD
2026-01-03,cce-prod-node-a,CCE_NODE,22.5404,22.2023,70.300,USD
2026-01-03,cce-prod-node-b,CCE_NODE,22.1024,21.7709,70.300,USD
2026-01-03,ecs-dev-sandbox-01,ECS,6.3251,6.3251,19.950,USD
2026-01-03,ecs-qa-legacy-01,ECS,5.4872,5.4872,17.575,USD
2026-01-03,rds-orders-prod,RDS,21.3480,21.3480,65.550,USD
2026-01-03,rds-analytics-prod,RDS,16.0924,15.8510,49.400,USD
2026-01-03,evs-orphan-001,EVS,3.0389,3.0389,9.120,USD
2026-01-03,eip-unbound-001,EIP,1.2029,1.2029,3.610,USD
2026-01-03,obs-platform-logs,OBS,8.3402,8.3402,26.125,USD
2026-01-03,elb-legacy-001,ELB,2.5350,2.5350,7.790,USD
2026-01-03,ecs-ml-prod-01,ECS,14.0396,14.0396,43.700,USD
2026-01-03,cce-dev-node-01,CCE_NODE,10.1452,10.1452,31.350,USD
2026-01-03,ecs-unallocated-01,ECS,4.3238,4.3238,13.775,USD
2026-01-04,ecs-prod-web-01,ECS,19.3497,19.3497,58.900,USD
2026-01-04,ecs-prod-web-02,ECS,15.9115,15.6728,48.450,USD
2026-01-04,cce-prod-node-a,CCE_NODE,22.4271,22.0907,70.300,USD
2026-01-04,cce-prod-node-b,CCE_NODE,22.9893,22.6445,70.300,USD
2026-01-04,ecs-dev-sandbox-01,ECS,6.2992,6.2992,19.950,USD
2026-01-04,ecs-qa-legacy-01,ECS,5.4909,5.4909,17.575,USD
2026-01-04,rds-orders-prod,RDS,21.1638,21.1638,65.550,USD
2026-01-04,rds-analytics-prod,RDS,15.9325,15.6935,49.400,USD
2026-01-04,evs-orphan-001,EVS,2.9678,2.9678,9.120,USD
2026-01-04,eip-unbound-001,EIP,1.1968,1.1968,3.610,USD
2026-01-04,obs-platform-logs,OBS,8.6301,8.6301,26.125,USD
2026-01-04,elb-legacy-001,ELB,2.4712,2.4712,7.790,USD
